project_id,agent,mode,provider,model,status,duration_ms,input_tokens,output_tokens,retries,validation_errors,error,started_at
1409d1d1fd1842e191bc5f703556cc68,idea,strict,local,qwen2.5-coder:7b,succeeded,62252,567,273,0,0,,2026-09-23T19:44:45.052194+00:00
1409d1d1fd1842e191bc5f703556cc68,stack,strict,local,qwen2.5-coder:7b,succeeded,144790,870,414,0,0,,2026-09-23T19:45:47.382841+00:00
1409d1d1fd1842e191bc5f703556cc68,code,strict,local,qwen2.5-coder:7b,succeeded,520595,1359,1826,0,0,,2026-09-23T19:48:12.236988+00:00
566a075f8052488eb8b1dd0f5cbb4a66,idea,naive,local,qwen2.5-coder:7b,succeeded,134444,179,613,0,0,,2026-09-23T19:56:53.183223+00:00
566a075f8052488eb8b1dd0f5cbb4a66,stack,naive,local,qwen2.5-coder:7b,succeeded,154054,730,514,0,0,,2026-09-23T19:59:07.667101+00:00
566a075f8052488eb8b1dd0f5cbb4a66,code,naive,local,qwen2.5-coder:7b,succeeded,571454,1282,1932,0,0,,2026-09-23T20:01:41.752451+00:00
1005b37080d640af9e7322b306f9b58c,idea,strict,local,qwen2.5-coder:7b,succeeded,86456,564,359,0,0,,2026-09-23T20:11:13.415653+00:00
1005b37080d640af9e7322b306f9b58c,stack,strict,local,qwen2.5-coder:7b,succeeded,123795,955,449,0,0,,2026-09-23T20:12:39.937675+00:00
1005b37080d640af9e7322b306f9b58c,code,strict,local,qwen2.5-coder:7b,succeeded,478401,1479,1607,0,0,,2026-09-23T20:14:43.794648+00:00
b34308f96766465689e4feeacfefa98a,idea,strict,local,qwen2.5-coder:7b,succeeded,75083,562,346,0,0,,2026-09-24T04:51:13.066630+00:00
b34308f96766465689e4feeacfefa98a,stack,strict,local,qwen2.5-coder:7b,succeeded,122988,945,458,0,0,,2026-09-24T04:52:28.220607+00:00
b34308f96766465689e4feeacfefa98a,code,strict,local,qwen2.5-coder:7b,succeeded,838272,2992,3151,1,1,,2026-09-24T04:54:31.280715+00:00
7c411adef23c464aa076a5bf3396bfa0,idea,naive,local,qwen2.5-coder:7b,succeeded,103807,174,448,0,0,,2026-09-24T05:08:29.808079+00:00
7c411adef23c464aa076a5bf3396bfa0,stack,naive,local,qwen2.5-coder:7b,succeeded,171590,565,621,0,0,,2026-09-24T05:10:13.663715+00:00
7c411adef23c464aa076a5bf3396bfa0,code,naive,local,qwen2.5-coder:7b,succeeded,369318,1224,1358,0,0,,2026-09-24T05:13:05.315200+00:00
33b3640bb6654af6b78aaaf970c9a886,idea,naive,local,qwen2.5-coder:7b,succeeded,87405,176,428,0,0,,2026-09-24T05:20:45.429999+00:00
33b3640bb6654af6b78aaaf970c9a886,stack,naive,local,qwen2.5-coder:7b,succeeded,149543,545,580,0,0,,2026-09-24T05:22:12.884780+00:00
33b3640bb6654af6b78aaaf970c9a886,code,naive,local,qwen2.5-coder:7b,succeeded,1230879,1163,4544,0,0,,2026-09-24T05:24:42.470004+00:00
